,long,lat,group,order,region,subregion,Cases,Travel_Related,Residents,Non.Residents,Not_in_Florida,Total_Tests,Total_Negative,Total_Pending,Total_Positive,Total_Deaths,FIPS,Date,Time,Hospitalizations,n
1,-82.66062164,29.81672287,290,12216,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
2,-82.63770294,29.81672287,290,12217,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
3,-82.62051392,29.84537125,290,12218,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
4,-82.59759521,29.85110283,290,12219,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
5,-82.58040619,29.8797493,290,12220,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
6,-82.58040619,29.91412544,290,12221,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
7,-82.56894684,29.9255867,290,12222,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
8,-82.54029846,29.9255867,290,12223,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
9,-82.52310944,29.93704414,290,12224,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
10,-82.42570496,29.91412544,290,12225,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
11,-82.37414551,29.87401772,290,12226,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
12,-82.3454895,29.86828995,290,12227,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
13,-82.30538177,29.83964157,290,12228,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
14,-82.2824707,29.83964157,290,12229,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
15,-82.22517395,29.83964157,290,12230,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
16,-82.13922882,29.82245255,290,12231,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
17,-82.12203979,29.82245255,290,12232,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
18,-82.08766174,29.74797058,290,12233,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
19,-82.04756165,29.7193203,290,12234,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
20,-82.05329132,29.47294998,290,12235,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
21,-82.03609467,29.47867966,290,12236,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
22,-82.01890564,29.49586868,290,12237,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
23,-82.03036499,29.4672184,290,12238,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
24,-82.04756165,29.45576096,290,12239,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
25,-82.04756165,29.4442997,290,12240,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
26,-82.07620239,29.43284225,290,12241,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
27,-82.08766174,29.421381,290,12242,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
28,-82.10485077,29.43284225,290,12243,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
29,-82.12776947,29.43284225,290,12244,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
30,-82.17360687,29.421381,290,12245,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
31,-82.19652557,29.421381,290,12246,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
32,-82.2137146,29.45003128,290,12247,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
33,-82.20225525,29.46148872,290,12248,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
34,-82.1907959,29.45576096,290,12249,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
35,-82.1907959,29.4672184,290,12250,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
36,-82.2137146,29.47867966,290,12251,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
37,-82.40852356,29.47867966,290,12252,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
38,-82.56321716,29.4901371,290,12253,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
39,-82.56321716,29.5359745,290,12254,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
40,-82.66062164,29.54743195,290,12255,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
41,-82.66635132,29.57035065,290,12256,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
42,-82.66062164,29.81672287,290,12257,florida,alachua,93,0,88,5,0,1654,1544,0,93,0,1,4/2/2020,5:48 PM,14,93
43,-82.04182434,30.26362991,291,12259,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
44,-82.03609467,30.17195702,291,12260,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
45,-82.04182434,30.13758087,291,12261,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
46,-82.13349915,30.13758087,291,12262,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
47,-82.46009064,30.13758087,291,12263,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
48,-82.46009064,30.57302666,291,12264,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
49,-82.2137146,30.56156921,291,12265,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
50,-82.22517395,30.53865051,291,12266,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
51,-82.24236298,30.52719307,291,12267,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
52,-82.23090363,30.51000404,291,12268,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
53,-82.2137146,30.49281311,291,12269,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
54,-82.20798492,30.46989441,291,12270,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
55,-82.20798492,30.39541054,291,12271,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
56,-82.17933655,30.37249184,291,12272,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
57,-82.16214752,30.36103439,291,12273,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
58,-82.12203979,30.36103439,291,12274,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
59,-82.08766174,30.35530472,291,12275,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
60,-82.04756165,30.36103439,291,12276,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
61,-82.04182434,30.26362991,291,12277,florida,baker,11,0,11,0,0,93,81,0,11,0,3,4/2/2020,5:48 PM,2,11
62,-85.40509033,30.21779442,292,12279,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
63,-85.41082001,29.96569252,292,12280,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
64,-85.45092773,29.9714241,292,12281,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
65,-85.48530579,29.98288155,292,12282,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
66,-85.50822449,29.9943428,292,12283,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
67,-85.52540588,30.00580025,292,12284,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
68,-85.52540588,30.03444862,292,12285,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
69,-85.68583679,30.11466217,292,12286,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
70,-85.69156647,30.1318512,292,12287,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
71,-85.69156647,30.14330864,292,12288,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
72,-85.67438507,30.14330864,292,12289,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
73,-85.63427734,30.1318512,292,12290,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
74,-85.51967621,30.07455635,292,12291,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
75,-85.50249481,30.07455635,292,12292,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
76,-85.49676514,30.08601379,292,12293,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
77,-85.51394653,30.10320091,292,12294,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
78,-85.52540588,30.14903831,292,12295,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
79,-85.54833221,30.1547699,292,12296,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
80,-85.56551361,30.1547699,292,12297,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
81,-85.59416199,30.14330864,292,12298,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
82,-85.61708069,30.14903831,292,12299,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
83,-85.65718842,30.17195702,292,12300,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
84,-85.68010712,30.17195702,292,12301,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
85,-85.70302582,30.18341446,292,12302,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
86,-85.73167419,30.21206474,292,12303,florida,bay,14,0,13,1,0,170,154,0,14,0,5,4/2/2020,5:48 PM,1,14
